Tweet,Sentiment
@theblaze Like the Dino's adapt or die out.  BTW man-made global warming? That is not a fact. Only supposition by s https://t.co/h92rrtewnk,-1
@brimandgrind Wrong type of climate change.,0
The Global Warming debate is discouraging when considering human intelligence. GW nutcases remain unpersuaded by logic or evidence.,-1
@TheNewSchool: #IStartCryingWhen people think global warming is a non-issue. https://t.co/D3TEAwMhSE,1
"The lies, damned lies and Turnbull government statistics about Australias contribution to global climate change. https://t.co/B3z0xL3tmr",0
Environmental Economics: Note to Environmentalists Part II: The climate change bill that was supposed to be unveil... http://bit.ly/btOPIX,0
"We need our leaders to speak out on climate change, not stay silent - The Guardian http://t.co/BhGKvTyJMb",1
Want to stop climate change? Stop funding it. Pls to join the 24-hour TwitterStorm! http://t.co/olMvpQvgIp #EndFossilFuelSubsidies,1
@Alex_Verbeek:     This is climate change in your lifetime  https://t.co/12Tva4urTT  #climate #glaciers #travel #hiking #Chile,1
New York: Queens College geologist journeys to Antarctica to study global warming http://bit.ly/cIm1Rq,1
"#ClimateChange #GlobalWarming China clarifies for Trump: uh, no, global warming is not a Chinese hoax https://t.co/KIcoQrLrFF via @voxdotcom",1
"Bolivia Climate Summit, April 19-22: US Slaps Bolivia and Ecuador slicing millions of dollars in climate change fu... http://bit.ly/d2uz1o",1
"@washingtonpost Like global warming regulatory crap, increasing the poor's expenses by $2,700/year?",-1
"Gather Info on How to Whiten Teeth : A Screaming _O_: ... Climate Change, clinical trials collagen, clinique, clip... [link]",0
2010 East Coast Snowfall Blamed on Global Warming? http://ow.ly/162Gl,0
"@realMSTD @IBM @PathwaysInTech if you believe n climate change,no one will stop you from sending them a check or ditiching your car.",0
"@PUNYETALIFICENT: Kung nanlalamig na siya sayo, paniguradong may pinag-iinitan yang bago! Climate Change $q$yan. Dala ng Malanding Panahon!",0
@FredZeppelin12: On 1/27/2006 this raging lunatic lectured us global warming will destroy the world in 10 years   He has 18 days left ht,-1
@BIZPACReview: Bill Nyes scary rebuke of CNN for allowing opposing climate change view sums up the Left in a nutshell,-1
"@johnmcdonnellMP: In the Budget, the Tories could do what the next Labour Government will and put climate change at the very centre o",1
"@babitatyagi0: tree absorbs and locks away carbon dioxide which is a global warming suspect,  #MSGTreePlantationDrive http://t.co/26j2RO",1
Great to find experts using data rather than dogma in analysis of climate change. .@AlexEpstein https://t.co/HE6u0xAnkv,0
"@Team4Nature300: Please READ/:) On climate change this government is indifferent to life, in love with death | @GeorgeMonbiot https:/",1
@guardianeco #Climate scientist sues newspaper for 'poisoning' global warming debate http://bit.ly/9xfbDA #earthday Happy Earth Day,0
@SenSanders: We have a president-elect who doesnt believe in climate change. Thats frightening for this country and the world.,1
@FCOClimate @CarbonBrief the UK is a great example of a country being proactive in stopping climate change #ActOnClimate #SetAnExample,1
"@phranqueigh: 'What climate change?' they said, as the hurriquakefirefloodnado swept through their town.",1
@_richardblack: Some climate change advice from Lord Farage... https://t.co/4YEiTozX66,0
Don't shoot the climate change messenger .. https://t.co/GxLMA42AeH #energy,0
@DRUDGE_REPORT: Obama digs at Trump over 'climate change'... https://t.co/WWeTHqR4Lx,-1
@altUSEPA: Lengthy &amp; detailed analysis of survey data on perceptions of various aspects of climate change cause &amp; consequence.  https://,1
@patagonia: 'We commit to fighting harder than ever for leadership willing to confront climate change and embrace the clean energy revol,1
Senators prepare compromise climate change bill http://tinyurl.com/ybstl6n,1
Climate-change legislation buried under record snowfall in capital - TheHill.com: http://bit.ly/acTaix via @addthis #climategate #capntrade,0
@xtrminatewhites: If I get a girlfriend we can stop global warming gamer girls DM me,0
"@fiscal_penalty: Despite the global warming, Alaska has had very little, if any, warming since 1977 (except Barrow), as shown below: htt",0
@realDonaldTrump @POTUS You fucking idiot! I'm a geologist &amp; studied climate change in college &amp; co-authored two papers on it - IT'S REAL!!!,1
@EnvDefenseFund: These stunning timelapse photos may just convince you about climate change. https://t.co/7RMNoWQIRJ,1
@freecanadian55: Climate change and global warming are #climatehoax https://t.co/0Z6yRn50WL,-1
"@fiscal_penalty: Despite the global warming, Alaska has had very little, if any, warming since 1977 (except Barrow), as shown below: htt",0
I know that climate change is within.,0
@UN_Water: #DYK that demographic change combined with climate change means that exposure to disaster risk is growing rapidly?  Check out,1
people touch the tippy top the the ice berg and think they can start global warming,0
@japantimes Global climate change to be ignored in order to give temporary support to racist conman and Putin puppet,1
@DclareDiane: World leaders duped by manipulated global warming data https://t.co/rgLBJEBwdh via @MailOnline,-1
@JunkScience: Exxon management has adopted the global warming religion. I am going to fight it. https://t.co/dVuJkjgfeQ https://t.co/Aj4,-1
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],1
@EcoSenseNow: @FBastiat1: Nobel Prize-Winning Scientist Says Obama Is  $q$ Wrong On Global Warming http://t.co/5IL2bLX11X @BrianLehrer,-1
"@Independent: Thanks to climate change, it's time to say goodbye to mild weather as you know it https://t.co/nqe9BJxZBu",1
"@Holbornlolz: JESUS FUCKING CHRIST, GIVE ME STRENGTH   Why climate change is creating a new generation of child brides https://t.co/aSnx",1
@Met_mdclark @SteveGy68 Fodder for the arctic climate change alarmists?,-1
@shonfaye: The Miss Congeniality joke about April 25th was before climate change fucked the seasons - now you do need more than a light,1
"@colinmochrie: The GOP doesn't care about climate change, the environment, women, poor people, our children's future and maybe Season 7",1
@RantyAmyCurtis @JoeC1776 Everything is evidence of global warming. If I take a piss... global warming.,-1
"@matthaggis666: Today on #abcforkids we have IPA's Georgina Downer explaining why climate change isn't real, and how voluntary voting is",-1
@HirokoTabuchi: America is about to vote in a president who thinks climate change is a hoax #ElectionNight,1
@AnnCoulter: Men shouting $q$Allahu Akbar$q$ behead priest in Normandy - https://t.co/LX1IUax8sG Pope blames global warming.,-1
@JoanneBLY: Lesson: NEVER give Ontario Liberals another majority!! No matter how hard the public sector unions try to scare you! https:/,0
@redalertnow: @USATODAY - Maybe Obama should have fixed bridges instead of funneling money to his Communist pals for the climate change,-1
@HouseCracka: Its freezing on the border with Mexico.   How's that global warming workin out for you? https://t.co/MyE935BhY2,-1
@quixotecenter: Combating climate change: lessons from the world_s indigenous peoples http://tinyurl.com/25eatpb,1
"@GeorgeTakei: Shutting down government...does that include brutal ICE raids, an EPA that denies climate change, an Interior Dept that wa",1
@newtgingrich: Historic snow storm in washington-third this year-where is al gore to explain it snows this heavily as a sign global warming is imminent,-1
Doubt he'll be so convinced about global warming after visiting Embra. #leowatch https://t.co/4kFq6aWF2O,-1
@pristinious: @hanlikesolo global warming,0
@michikokakutani: The planet just had its hottest 4 years in recorded history. Trump is dismantling efforts to fight climate change. htt,1
EDITORIAL: &lt;b&gt;Stop&lt;/b&gt; debating &lt;b&gt;climate change&lt;/b&gt; https://t.co/fS5oq7trf9 #ExpressHatred,0
@SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. T,1
Wow! heavy financial hitters demanding climate change risk evaluation for businesses. ASIC as well? Wonder how inve https://t.co/KF8G0pHWQ7,0
Obama administration proposes new climate change agency: http://ping.fm/Rr2kS,0
@MyronAnderson Green Fact:Did you know that Skeptics and Advocates both agree there has been no global warming since 1995? #climate change,-1
@314action: .@DanaRohrabacher says 'dinosaur flatulence' may have caused climate change. We sent a dinosaur to his office with,0
Climate Change Legislation Now Off the Agenda http://retwt.me/1MWBq (via @pwire),0
When Trump gets asked about global warming. #Trump https://t.co/PK5CQWo9Oz,0
@Imperator_Rex3: Quick - someone better let the Iranians know that it was 'climate change' that caused them to protest against the mulla,-1
Global Warming Fact or Myth? (Daily Green) [link],0
"@SocialistVoice: Tories now have a climate change sceptic, a man who hates Europe, an NHS privatiser and a PM who hates human contact ht",1
